,timestamps,tagNo,event-id,utmEasting,utmNorthing,utmZone,stage
1,9/1/2015 3:54,667,2316175613,524701.4664,4350653.98,16N,breeding
2,9/8/2015 3:59,667,2316175614,524703.267,4350654.418,16N,breeding
3,9/15/2015 3:59,667,2316175615,524738.04,4350689.609,16N,breeding
4,9/22/2015 4:00,667,2316175616,524666.3438,4350609.3,16N,breeding
5,9/29/2015 3:59,667,2316175617,524438.9262,4350301.973,16N,breeding
6,10/2/2015 16:00,667,2316175618,521516.2251,4333021.539,16N,autumnMigration
7,11/11/2015 16:01,667,2316175628,803719.1854,1608936.009,16N,winter
8,11/29/2015 4:55,667,2316175630,803709.8873,1609021.558,16N,winter
9,12/13/2015 4:59,667,2316175631,803670.7554,1608999.57,16N,winter
10,12/27/2015 4:59,667,2316175632,803689.5294,1609029.7,16N,winter
11,1/10/2016 4:59,667,2316175633,803693.7912,1609010.408,16N,winter
12,1/24/2016 4:59,667,2316175634,803693.7593,1609007.75,16N,winter
13,2/7/2016 4:59,667,2316175635,761617.9308,1589495.878,16N,winter
14,2/21/2016 4:59,667,2316175636,761627.2174,1589508.662,16N,winter
15,3/6/2016 4:59,667,2316175637,761697.6735,1589490.362,16N,winter
16,3/20/2016 4:59,667,2316175638,761715.1402,1589444.628,16N,winter
17,3/28/2016 16:00,667,2316175639,761659.0643,1589412.058,16N,winter
18,4/6/2016 16:01,667,2316175642,761619.8844,1589443.483,16N,winter
19,4/18/2016 15:59,667,2316175646,656208.9752,3372046.758,15N,springMigration
20,4/21/2016 16:00,667,2316175647,460029.0302,4067698.366,16N,springMigration
21,4/24/2016 16:00,667,2316175648,524742.5425,4350458.023,16N,breeding
22,4/27/2016 16:01,667,2316175649,524228.1844,4350186.087,16N,breeding
23,5/9/2016 16:01,667,2316175653,524721.3038,4350045.238,16N,breeding
24,8/15/2014 3:57,343,2329550588,546747.5111,4013620.339,17N,breeding
25,8/22/2014 4:00,343,2329550589,546724.094,4013685.415,17N,breeding
26,8/29/2014 4:00,343,2329550590,546787.5629,4013704.269,17N,breeding
27,9/5/2014 4:00,343,2329550591,546789.481,4013701.706,17N,breeding
28,9/12/2014 4:00,343,2329550592,546071.8744,4013064.19,17N,breeding
29,9/19/2014 4:00,343,2329550593,546201.6684,4013051.689,17N,breeding
30,10/2/2014 16:00,343,2329550594,545109.4715,4012056.719,17N,breeding
31,10/6/2014 16:00,343,2329550595,796143.7528,2545745.028,16N,autumnMigration
32,10/10/2014 16:00,343,2329550596,391043.2537,2175284.762,16N,autumnMigration
33,11/29/2014 4:58,343,2329550605,273709.2358,1859922.305,16N,winter
34,12/13/2014 4:59,343,2329550606,273715.8541,1859920.042,16N,winter
35,12/27/2014 4:59,343,2329550607,273692.8964,1859884.079,16N,winter
36,1/10/2015 4:59,343,2329550608,273697.2221,1859884.774,16N,winter
37,1/24/2015 4:59,343,2329550609,273705.1631,1859874.615,16N,winter
38,2/7/2015 4:59,343,2329550610,273685.9076,1859896.541,16N,winter
39,2/21/2015 5:00,343,2329550611,273698.8275,1859888.321,16N,winter
40,3/7/2015 4:59,343,2329550612,272980.6347,1858759.979,16N,winter
41,3/21/2015 4:59,343,2329550613,274078.2781,1859886.492,16N,winter
42,3/31/2015 0:00,343,2329550614,273711.9096,1859929.04,16N,winter
43,4/7/2015 0:00,343,2329550615,273881.6371,1859844.993,16N,winter
44,4/10/2015 16:00,343,2329550617,345608.7155,3515114.144,16N,springMigration
45,4/13/2015 16:00,343,2329550618,346127.0127,3515873.293,16N,springMigration
46,4/22/2015 16:00,343,2329550623,546155.7478,4013058.078,17N,breeding
