param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,886.749843919513,646.693150898147,518.557935411265,359.737903287,255.304501447867,204.214187408495,13.5020904326313,532.060025843896,0.415215081268926
speed_sd_s,890.135918579135,706.787061364999,569.244253164669,360.177904264757,269.79183321794,211.734822353623,18.0881790157471,587.332432180416,0.360497378789842
speed_mean_f,883.184347419596,694.978926970496,498.238361091626,360.418484197795,211.747536610491,142.82995720802,7.86216284435723,506.100523935983,0.435861422875834
speed_sd_f,886.252753277979,698.484349727545,574.99052119134,360.875052574881,212.459989835521,137.868713870602,11.1392762218069,586.129797413147,0.351211582627388
start_date_u_s,117.972769333545,30.6263408162506,20.4721135212099,105.274501287345,111.07550120429,112.35403096537,101.877202580008,122.349316101218,0.826467466714043
start_date_sd_s,88.3189708026063,30.1670957830278,21.892377167673,36.0242312218481,15.1585910289082,12.3431925333231,2.07982401286537,23.9722011805384,0.752121464180072
start_date_u_f,117.866114336179,32.650647359805,20.2575834363595,240.136542062924,242.979091025335,240.893788187745,229.051443378711,249.30902681507,0.828130556857244
start_date_sd_f,88.6813435184158,29.8243740200422,18.7419973933797,36.0654286192469,16.6157457510881,16.817220798216,7.70915718962567,26.4511545830054,0.78865907247461
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,39.0717963034805,36.7818571406973,34.913329506947,-0.0227493068195539,-0.478958650511643,-1.6580453416623,-19.6742110352245,15.2391184717224,0.106431420870278
bear_err_sd_s,72.6016076776474,63.5099732806475,56.5209418169133,40.5781768969728,34.200430991735,31.3693754028994,4.14938164871069,60.6703234656239,0.221491870154344
bear_err_mean_f,39.3777033761926,35.9287118499386,31.7724739451589,-0.0383293985639881,1.35827126359585,2.43897434628309,-14.0672647286638,17.7052092164951,0.193135423830526
bear_err_sd_f,72.9219699047598,63.2366504382091,58.8053304960667,40.5174436628898,39.6809668336659,42.0319016520169,9.46160542622317,68.2669359222899,0.193585546675853
max_energy_s,5898.74212012726,5789.31886377445,5760.63264492851,2395.29801039357,2384.86264018536,2288.91742430453,337.103577807108,6097.73622273562,0.0234133773584545
max_energy_f,5907.55890018232,5544.98610690476,4959.89964716323,2385.74864066593,1705.90815930207,727.532202174473,208.571812756219,5168.47145991945,0.160414693959266
recovery_rate_s,0.589849678962983,0.562941692684764,0.549613288326763,0.240067579157846,0.288990899063344,0.307044670026537,0.0806562377629686,0.630269526089732,0.0682146520906132
recovery_rate_f,0.591486919150714,0.563591800936454,0.543126721993832,0.240589476657214,0.25884240219419,0.264819878960446,0.0395468134568159,0.582673535450648,0.0817603831819644
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,176,176,176,176,176,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,0.949539203086169,0.947510964469984,0.945844902796671,0.502199157257564,0.511858900776133,0.505113690858707,0.0291541603393853,0.974999063136056,0.00389062429175246
mig_con_type,1,1,1,1,2,2,1,2,0
migr_timing_lat_s,0.949555423430865,0.931064978707582,0.897156536160037,0.49766828562133,0.457080710213631,0.388969546882436,0.018854084587656,0.916010620747693,0.0551825475141883
migr_timing_lat_f,0.951076426135842,0.926453311461955,0.882852084049955,0.500900093000382,0.595220221905038,0.629033609060571,0.0520331037696451,0.9348851878196,0.0717338167691509
