param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,727.881560311864,577.032122064785,455.242230055251,406.575778444067,293.793774901496,223.55828482499,26.2068428314555,481.449072886707,0.374565513295596
speed_sd_s,727.472962393327,558.235978362015,446.383488354215,405.124050820668,284.105437165976,218.912293247806,28.4296209895372,474.813109343752,0.386391644184755
speed_mean_f,731.221759605278,603.117599658537,442.173126064287,406.541372876525,268.170773223913,178.790013479438,17.079620029192,459.252746093479,0.39529544867076
speed_sd_f,730.081255517375,625.717271154414,531.754731829616,404.44873986993,294.740722405163,205.521813442368,25.6513136127329,557.406045442349,0.271649932372547
start_date_u_s,58.5851381649596,21.9614907145973,15.2636870784393,99.8905692477228,112.036817037763,112.552452271695,104.379535805988,119.643222884428,0.739461447791401
start_date_sd_s,29.3941810933074,15.2215728909697,11.5276159538343,12.0098556092675,6.57649655337922,5.7064880841262,0.52898124364987,12.0565971974842,0.607826599514998
start_date_u_f,59.2521214885948,31.338977578461,22.4109220290252,230.079570055475,252.466848672325,253.226399469892,241.358617328681,263.769539357706,0.621770133018123
start_date_sd_f,29.6019193909394,21.2212816909881,15.0651316047082,12.0261536696493,11.9239547050059,12.821348182969,5.94704155956983,21.012173164278,0.491075852016562
max_mig_time_s,0,0,0,120,120,120,120,120,NaN
max_mig_time_f,0,0,0,120,120,120,120,120,NaN
bear_err_mean_s,39.0870034195269,29.4569675009258,24.7331805761002,0.00217862312777213,4.8065597915775,8.57799771466773,-4.01824795453715,20.7149326215631,0.367227507551931
bear_err_sd_s,58.7326396788368,49.2060478791025,42.769874763493,23.8633405756303,18.6513090983501,15.3608899906214,0.548638207761697,43.3185129712547,0.271786948494598
bear_err_mean_f,39.2161941585907,29.2972076503686,22.9912507906433,0.0837757061314781,-1.59917619929408,-2.88603382956884,-14.3903629061382,8.60088788450506,0.413730697638164
bear_err_sd_f,59.0251840214591,51.5983001631324,42.0971833982306,24.0243973885702,18.9120234394984,14.5110130431943,0.906521135148811,43.0037045333794,0.286792847898181
max_energy_s,5471.73810813766,5288.18431741567,4801.87054352032,3044.49827556357,2832.79181794655,2581.6888365291,683.012428033895,5484.88297155422,0.122423177311994
max_energy_f,5487.40271162021,5112.64913180933,4554.21208340014,3039.3496270153,2395.89594767262,1577.7285326613,390.514215644822,4944.72629904496,0.170060532689523
recovery_rate_s,0.333940166665883,0.314025332466231,0.307630333245475,0.15900504755156,0.168975176420663,0.16723056814868,0.0550352720848476,0.362665605330323,0.07878607022057
recovery_rate_f,0.332957699307685,0.307620573474737,0.290041722044407,0.158921418746824,0.147517595211044,0.143571422022595,0.032799895462046,0.322841617506453,0.12889318178409
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,162,162,162,162,162,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,0.951013182546012,0.951905993977561,0.942227672284935,0.500066395266913,0.4984700914938,0.463491395814344,0.0240578353404999,0.966285507625434,0.00923805308098558
mig_con_type,1,1,1,2,1,1,1,2,0
migr_timing_lat_s,0.951344652095577,0.938571745995432,0.929566939431243,0.500003695604392,0.43448743247427,0.399803094565868,0.018466771976091,0.948033711407334,0.0228915068964366
migr_timing_lat_f,0.950574502075323,0.936262790579349,0.896765032783151,0.499823441496119,0.508562454255298,0.526161960558966,0.0292693248484284,0.926034357631579,0.056607313971387
