param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,729.594751452768,583.760781051661,467.088736802265,406.074430172731,334.492528121703,301.120542608098,61.7470893996657,528.835826201931,0.359797016258411
speed_sd_s,731.745147892352,603.54531725429,453.06670809735,404.931646003515,332.415219716593,289.698112587294,100.814104886039,553.880812983389,0.380840844107652
speed_mean_f,730.286348609743,608.070634223292,501.543531927754,405.211883038175,328.890061531524,291.630269266932,39.138796713451,540.682328641205,0.31322345969831
speed_sd_f,725.498110275806,641.407632720675,515.780201272056,405.164851475378,359.385413314712,334.967810401102,118.220371386946,634.000572659002,0.289067477962174
start_date_u_s,78.307737872138,30.2691154993722,16.4060878080228,75.0008465697612,82.7184824615687,84.6764286202213,76.9431557304542,93.349243538477,0.790492124356716
start_date_sd_s,44.2335473224735,23.3046291056145,14.247422091791,17.9688873183756,10.2455155686304,6.78696504574327,0.581084522952798,14.8285066147438,0.677904600598189
start_date_u_f,78.5665483705663,26.910781164174,17.5636540118156,239.983943891057,261.816749748568,266.163475581907,257.926383634284,275.4900376461,0.776448700164667
start_date_sd_f,44.3450915680423,32.0259702207824,19.2578252445521,18.1093781346945,17.9853354993698,19.2120566338475,9.63594370478956,28.8937689493417,0.565728143440559
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,38.9574450040536,34.9684423927039,30.8521268396052,-0.015220332674255,-0.234942984652909,-0.462223713122175,-14.9933834116944,15.8587434279108,0.208055691629804
bear_err_sd_s,72.8908285902986,42.8349337743918,30.9936047835913,40.6554636989778,22.2741804761369,14.9881193664155,2.08570951941992,33.0793143030112,0.574794176674837
bear_err_mean_f,39.4376123912879,33.7466491508297,27.1850948070535,-0.151347461756149,-0.378817857830047,0.25384156991039,-13.1086192843564,14.0764755226971,0.310681018482272
bear_err_sd_f,72.4456724204383,28.3470155481977,20.4915070013356,40.6483649094936,15.512401710775,10.1564490428441,1.58215921958812,22.0736662209237,0.71714656905366
max_energy_s,3645.34316638303,3064.39777987732,2898.81553748043,2026.61874464186,2332.45707571517,2382.98912231899,1303.97237327504,4202.78791075547,0.204789397000259
max_energy_f,3628.39851903918,2950.97652335282,2930.59431973152,2029.01082566015,2276.76113726719,2322.54264429743,1250.0902914964,4180.68461122792,0.192317408257692
recovery_rate_s,0.333895272929543,0.309445366655969,0.310156992467044,0.158800632292771,0.195382851830912,0.209952211817399,0.077026880618608,0.387183873085652,0.0710949881207482
recovery_rate_f,0.332621350502727,0.311522787905495,0.303472988012437,0.158329821787563,0.200779745296997,0.220567458387814,0.0904570556483854,0.393930043660822,0.0876322654761491
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,162,162,162,162,162,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,0.95074625829584,0.950800616526976,0.948732835333795,0.50093983381521,0.475807190872729,0.470558311324567,0.022554241027683,0.971287076361478,0.00211772904124208
mig_con_type,1,1,1,2,1,2,1,2,0
migr_timing_lat_s,0.949828127375804,0.947574186138809,0.894436271348968,0.502281134249642,0.429408685071394,0.310899825533852,0.0156559441238641,0.910092215472832,0.0583177676364176
migr_timing_lat_f,0.951103869226063,0.87240003165789,0.701756576122716,0.49953183811158,0.395419490290806,0.333479623310268,0.0147262357641011,0.716482811886817,0.262166206206528
