param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,886.058457577975,794.130257211084,573.567540241198,360.360359903932,329.544917312987,273.408447243043,23.1191494713195,596.686689712517,0.352675283063113
speed_sd_s,884.161981826902,731.986018138416,560.442890022467,360.0512717925,330.123751465587,288.921751659192,58.3349573965214,618.777847418988,0.366130978777836
speed_mean_f,882.244810409163,630.010000744086,502.621784289281,361.030682590821,284.696172263716,243.055557101192,19.5392876751071,522.161071964388,0.430292161133623
speed_sd_f,886.553992817445,718.474202828352,568.033199512247,361.945975145743,304.467779760633,270.974130079811,45.8281251453169,613.861324657564,0.359279633147832
start_date_u_s,170.17309606338,39.0434734467471,20.0564532053159,105.436213749735,103.858789600499,104.345612570252,94.9934262964437,115.04987950176,0.882140869095747
start_date_sd_s,88.0016621202667,31.2331120821505,17.4780352502422,36.0164871525428,13.2128369573697,7.24330770962962,0.286318379513258,17.7643536297555,0.80138971436294
start_date_u_f,173.418749271797,35.013402511759,23.0877930328321,245.281164034628,239.860031808278,241.24831026539,229.322362841927,252.410155874759,0.866866799986852
start_date_sd_f,88.5183983299601,30.8676484003592,23.0507564044955,35.9315514472679,15.4555121257054,14.1053294771311,2.5921615662441,25.6429179707396,0.739593611730617
max_mig_time_s,0,0,0,120,120,120,120,120,NaN
max_mig_time_f,0,0,0,120,120,120,120,120,NaN
bear_err_mean_s,39.1617865245233,38.2078938054983,33.6645052739502,-0.0195093401253773,-0.373807466176058,0.347572551351217,-16.3415550970348,17.3229501769154,0.14037360749951
bear_err_sd_s,72.7737187427513,58.2432416976322,43.7249698195945,40.4607279986313,33.0769238233077,24.300535753569,4.69616710894904,48.4211369285436,0.399165377625425
bear_err_mean_f,38.9779679695847,34.355816223885,31.0064223220481,0.0317368476863589,3.37190967849064,6.18298427029968,-9.78935622721179,21.2170660948363,0.204514141264547
bear_err_sd_f,72.7822664591562,44.8981031107796,33.8484281953324,40.6746801181638,25.263053553553,22.1033484308973,5.43052458515543,39.2789527804878,0.53493577705048
max_energy_s,7282.5788637813,6574.25726288613,6473.60196973988,4049.28914527274,4215.38482974315,4259.13582866633,1437.54187975558,7911.14384949546,0.111083849440304
max_energy_f,7261.89938703794,6954.69669153213,6976.80016153261,4052.79252598522,4358.6980444597,4443.74243460149,1391.00063008344,8367.80079161605,0.0392595945372386
recovery_rate_s,0.58948435435722,0.582296189838988,0.573716097086319,0.239393752998633,0.267013072793572,0.277950028146744,0.0572866525396429,0.631002749625962,0.0267492379642458
recovery_rate_f,0.589034791941712,0.588620238729305,0.575467312419336,0.240745815942111,0.288643386512795,0.306558394167242,0.0810949226830015,0.656562235102338,0.0230334094148357
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,162,162,162,162,162,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,0.95026775932638,0.950453038793057,0.948781983787194,0.499674306833185,0.491166197927669,0.48938760231249,0.0285252934088931,0.977307277196087,0.00156353356683292
mig_con_type,1,1,1,1,1,1,1,2,0
migr_timing_lat_s,0.948990793299163,0.933113159844652,0.887041972635779,0.499773617368191,0.413970664376393,0.313177133677527,0.014047030871734,0.901089003507513,0.0652786318906416
migr_timing_lat_f,0.949603626137832,0.919997775228694,0.816705987555907,0.501257299212739,0.43255619588308,0.363289840286598,0.0199054470285773,0.836611434584484,0.139950643535807
