param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,726.26341588371,666.502417177469,586.808356236599,404.805984191953,340.023050556404,297.046869454364,54.9481182616805,641.75647449828,0.192017189076532
speed_sd_s,587.487915502208,537.400906941226,478.756718003114,240.109749757627,202.132514318206,179.710411087096,19.1066313783865,497.863349381501,0.185078185661309
speed_mean_f,730.981043836844,665.366240950813,597.889531089778,406.388398543491,293.977095445176,222.926280346354,26.1369031781727,624.026434267951,0.182072454366919
speed_sd_f,589.903589202405,526.8118414035,469.72263718094,240.621677775682,183.031042299587,155.669716028512,11.2060955790579,480.928732759998,0.203729819959155
start_date_u_s,59.0697054076546,21.3665345716587,14.242115963554,100.037563565747,111.277712476882,111.687940523215,104.0771924985,118.319308462054,0.75889305922104
start_date_sd_s,29.609546269753,13.9152937145519,11.1731614593154,12.0508108254954,6.4311424009921,5.58779622332992,0.567471579112446,11.7406330384279,0.622650027882085
start_date_u_f,58.8023068803728,25.632034329928,19.6266710300175,249.984464792022,253.306649048577,252.232575636394,241.852242201969,261.478913231987,0.66622617255568
start_date_sd_f,29.6240299792239,17.8671286925414,13.093082854377,12.0691054707212,12.2586681097471,13.0204558094582,6.99251870433194,20.0856015587089,0.558024925590493
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,39.0453926804857,28.1985255623102,23.0257693047133,-0.0245168109245986,6.45114267577091,9.7650970241573,-1.35352177878943,21.6722475259239,0.410282040364233
bear_err_sd_s,58.9171699495055,51.2554022107455,45.6742981094189,24.0252481539484,21.5367049713946,18.1140358250693,1.20720808272787,46.8815061921468,0.224771010750114
bear_err_mean_f,39.1276216749912,26.222243398668,21.1204423291262,-0.0662399059558741,-2.34874157234294,-3.04599653898263,-13.5182326567695,7.60220967235678,0.460216557383411
bear_err_sd_f,59.1341228168807,49.4219583748436,41.1492901191633,24.0052795913796,20.4492408291425,16.3299823856785,1.61468810769831,42.7639782268616,0.304136289522897
max_energy_s,4816.79977308585,3997.60695949801,3383.20253629484,2174.48680966428,1934.01273683527,1751.45278422818,701.694672330568,4084.89720862541,0.297624419599361
max_energy_f,4803.7743861176,3797.4758474877,3027.63279213082,2164.64114247835,1360.55327708198,1095.21563187545,424.025846360563,3451.65863849138,0.369738761903483
recovery_rate_s,0.332233035531596,0.293061012484979,0.267223952034895,0.158716837396862,0.153894945242367,0.151751465136897,0.0534813561727688,0.320705308207664,0.195673146689587
recovery_rate_f,0.332608254576445,0.2994554711354,0.266342258692139,0.158507873669372,0.136281794031044,0.133448593601363,0.0397064216198551,0.306048680311995,0.199231362939838
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,183,183,183,183,183,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,1.90219625293976,1.8977896796423,1.88285240752157,-0.00305792130529881,-0.0179936953354627,0.038838463369757,-0.927874845068436,0.954977562453132,0.0101692164456181
migr_timing_lat_s,1.90002190833911,1.83803517883644,1.69115781267174,0.00554594420827925,0.0177339911460876,0.0437076501548291,-0.82984801013954,0.861309802532196,0.109927203865746
migr_timing_lat_f,1.8998392833164,1.66761584486812,1.37562799861189,0.00194738060235978,0.281656575854868,0.446848528692498,-0.46888101643417,0.90674698217772,0.275924015945935
