param_name,prior range,S1 range,S2 range,prior med. est,S1 med. est.,S2 med. est,2.5%,97.5%,% Converg.
speed_mean_s,728.455201205224,713.261726592889,654.692490746875,406.143896069992,395.060162031047,341.422283273695,55.2993366061061,709.991827352981,0.101259089558711
speed_sd_s,589.315888423556,582.434132740052,551.691149017091,239.668297713498,238.38095562725,218.601683728016,15.1539421446178,566.845091161709,0.0638447734832208
speed_mean_f,725.992502420211,724.305866794229,706.722537036048,405.590102073771,403.877178024081,382.328343308319,67.9568837104114,774.679420746459,0.0265429261595999
speed_sd_f,590.918614546282,578.567022910864,562.066716785684,240.607692858716,241.598061162415,241.247726538956,20.6466805694576,582.713397355142,0.0488255016010133
start_date_u_s,116.575665873869,22.7893876520923,14.4662788991585,94.9089612857783,94.6801062820058,94.7171830233204,87.3489341417221,101.815213040881,0.875906529971611
start_date_sd_s,88.485882535168,18.3255265507015,12.6753972901189,35.8600014376383,8.14536065827479,5.20681010300833,0.306520900796916,12.9819181909158,0.856752321082618
start_date_u_f,116.811291631935,20.356879351235,12.7308968043582,274.97130279316,274.776071965442,275.215028925817,268.180070259683,280.910967064041,0.891013132151021
start_date_sd_f,88.4178502143249,19.5526399319068,13.356364913743,35.997848687124,7.87452918936768,5.90637447329163,0.4235119036003,13.7798768173433,0.848940401950882
max_mig_time_s,0,0,0,150,150,150,150,150,NaN
max_mig_time_f,0,0,0,150,150,150,150,150,NaN
bear_err_mean_s,39.158792520942,38.8473849984329,37.8626679054694,-0.0144154318368865,0.672642652568721,2.41787222750677,-16.2238982493399,21.6387696561295,0.0330991977032861
bear_err_sd_s,59.0278117431992,56.5180183210413,52.1582244092726,24.1213117196955,23.7692041564488,25.407967448445,3.02803466979444,55.186259079067,0.11637882433814
bear_err_mean_f,39.1337120901838,38.5676212602055,38.9448506945935,-0.0180304529434719,-0.644299976922151,-2.98860540371793,-22.8871894752577,16.0576612193358,0.00482605368882638
bear_err_sd_f,58.8859578056704,55.5053181439148,52.9357566031943,23.9144751178403,24.7349578686416,27.9139548784632,3.77119216347912,56.7069487666734,0.101046181877731
max_energy_s,7653.93704809835,7486.72134718355,7527.27222228298,5006.12611276569,5022.37187525473,4848.05501266063,1471.49157216292,8998.7637944459,0.0165489766925684
max_energy_f,7648.33689425123,7399.8211151472,7233.98528975606,5023.17349497781,5159.74324288079,5133.55156809392,1759.12280188627,8993.10809164233,0.0541753861295804
recovery_rate_s,0.332491424063132,0.323459491198649,0.31243149516996,0.158845021069127,0.163587785200323,0.159292650189362,0.0332600847488599,0.34569157991882,0.0603321693174349
recovery_rate_f,0.332575495356554,0.318888830778708,0.310381287533686,0.158834803942039,0.16274031696747,0.165170365457582,0.0407488715990166,0.351130159132702,0.0667343449314384
season,0,0,0,1,1,1,1,1,NaN
start_date,0,0,0,190,190,190,190,190,NaN
goal_radius,0,0,0,100,100,100,100,100,NaN
mig_con,1.90091235111468,1.90680615184829,1.90313290973427,-0.000241460744291544,-0.00649374094791711,-0.10016256570816,-0.967182808555663,0.935950101178605,-0.00116815413308813
migr_timing_lat_s,1.90052329065511,1.86364056449383,1.70803361611906,-0.00839630048722029,-0.230755435302854,-0.562201897148043,-0.982316968892701,0.725716647226363,0.101282460195315
migr_timing_lat_f,1.89947254119907,1.8336338615045,1.52286903011845,-0.00338836852461099,0.273862880654633,0.62212231894955,-0.542262915160972,0.980606114957482,0.198267415249328
